0	19
1	20
2	21
3	30
4	18
5	16
6	25
7	18
8	20
9	26
10	17
11	20
12	26
13	18
14	14
15	16
16	15
17	19
18	21
19	22
20	23
21	15
22	20
23	22
24	21
25	29
26	16
27	13
28	19
29	19
30	21
31	19
32	29
33	26
34	19
35	14
36	17
37	18
38	21
39	17
40	13
41	17
42	23
43	16
44	17
45	19
46	26
47	19
48	14
49	16
50	15
51	21
52	26
53	18
54	21
55	26
56	16
57	23
58	27
59	27
60	17
61	15
62	19
63	15
64	16
65	14
66	18
67	22
68	18
69	19
70	18
71	27
72	22
73	23
74	22
75	17
76	18
77	14
78	26
79	26
80	14
81	23
82	19
83	15
84	13
85	23
86	22
87	22
88	19
89	19
90	18
91	19
92	22
93	19
94	16
95	29
96	20
97	15
98	17
99	18
