0	428
1	627
2	435
3	995
4	2064
5	1687
6	1056
7	471
8	756
9	2359
10	697
11	1536
12	926
13	955
14	1117
15	574
16	943
17	1122
18	518
19	926
20	854
21	846
22	535
23	617
24	361
25	2312
26	1118
27	702
28	612
29	338
30	379
31	800
32	345
33	1197
34	516
35	1260
36	1661
37	2637
38	600
39	1018
40	466
41	421
42	609
43	558
44	537
45	557
46	416
47	1176
48	826
49	951
50	1534
51	1207
52	900
53	882
54	563
55	488
56	714
57	1526
58	372
59	1134
60	1434
61	1139
62	610
63	1064
64	1549
65	774
66	729
67	2497
68	543
69	1901
70	823
71	1165
72	1146
73	1195
74	638
75	651
76	1589
77	406
78	636
79	658
80	1142
81	1066
82	528
83	751
84	862
85	760
86	476
87	2840
88	525
89	1133
90	1150
91	1523
92	1109
93	1581
94	896
95	562
96	359
97	2016
98	1470
99	676
